TimeStep,StateType,Variable,Values
23,Priors,mu_c_priors,0.296464 -0.0360369 -0.0945669 -0.121466 -0.203467 0.285574 0.0244063 0.690199 0.288983 0.526001 -0.846455 0.13476 0.0471002 -0.231231 -0.17391 0.538626 -0.251478 0.0947875 -0.152474 -0.320475 0.0392945 -0.350846 0.369134 0.279533 -0.138906 0.0292818 -0.725592 -0.14797 -0.0291116 -0.409051 -0.000377187 -0.300725 -0.244259 -0.145917 -0.275131 0.198747 -0.0239362 -0.0916159 -0.251963 0.561235
24,Priors,mu_c_priors,0.405737 -0.0745817 -0.319627 -0.188151 -0.372947 0.25476 -0.108534 0.718051 0.28232 0.617749 -0.618731 0.0508093 0.242662 -0.378288 -0.0939587 0.562281 -0.230454 0.164334 -0.146084 -0.351311 0.200643 -0.267215 0.363795 0.412144 -0.103119 -0.0576295 -0.742344 -0.13391 -0.309867 -0.478827 -0.092202 -0.353018 -0.117463 -0.226085 -0.0286724 0.0613502 0.144574 0.0804719 -0.201449 0.479497
25,Priors,mu_c_priors,0.479062 -0.0243066 -0.429965 -0.311241 -0.498515 0.176807 -0.155921 0.744661 0.139771 0.625956 -0.507893 0.0459781 0.392256 -0.482301 0.0657616 0.551376 -0.238336 0.244229 -0.148205 -0.267506 0.36415 -0.189315 0.33612 0.501564 -0.124271 -0.147692 -0.751763 -0.111739 -0.525614 -0.509179 -0.158037 -0.370523 0.0102301 -0.332988 0.146782 -0.0345252 0.284959 0.214194 -0.137685 0.25339
26,Priors,mu_c_priors,0.517528 -0.0184166 -0.513744 -0.446997 -0.630787 0.101662 -0.130171 0.769842 -0.0785792 0.507089 -0.447205 0.0752325 0.406859 -0.554975 0.15502 0.582716 -0.28468 0.342838 -0.149045 -0.142561 0.475074 -0.133982 0.183005 0.510018 -0.0899189 -0.17765 -0.6586 -0.077881 -0.621429 -0.547977 -0.0477792 -0.334483 0.073842 -0.414225 0.233528 -0.165424 0.377656 0.216245 -0.0684334 0.0363906
27,Priors,mu_c_priors,0.524639 -0.157265 -0.565384 -0.520722 -0.679362 -0.0478792 -0.161518 0.780426 -0.312893 0.394364 -0.408092 0.168474 0.457893 -0.533704 0.205318 0.521591 -0.333082 0.412126 -0.138235 -0.0164398 0.548576 -0.158771 0.0891621 0.405728 -0.0844141 -0.12766 -0.568034 0.0216274 -0.632384 -0.536463 0.0764117 -0.230779 0.125811 -0.477107 0.317873 -0.30876 0.424134 0.0866771 -0.00950024 -0.188193
28,Priors,mu_c_priors,0.470879 -0.35011 -0.614728 -0.55421 -0.562752 -0.185068 -0.244601 0.78627 -0.487088 0.224958 -0.420292 0.327604 0.42239 -0.391391 0.231717 0.500911 -0.378232 0.528453 -0.215249 0.103752 0.566024 -0.185695 0.167608 0.216339 -0.0877768 -0.0389875 -0.525515 0.0997477 -0.611735 -0.549262 0.176374 -0.199807 0.130368 -0.410917 0.282966 -0.392532 0.473817 -0.148036 0.0559937 -0.380599
29,Priors,mu_c_priors,0.398156 -0.491954 -0.666496 -0.539021 -0.312519 -0.320458 -0.265989 0.817966 -0.629562 0.0404655 -0.496833 0.486095 0.373603 -0.124062 0.227383 0.529828 -0.447968 0.614968 -0.34858 0.190449 0.563253 -0.202914 0.270827 -0.0194185 -0.101128 0.0278345 -0.554147 0.199207 -0.568341 -0.547088 0.251778 -0.201938 0.164319 -0.243474 0.162875 -0.462302 0.496353 -0.358134 0.114972 -0.462916
30,Priors,mu_c_priors,0.349757 -0.562827 -0.687263 -0.483649 -0.00293798 -0.470047 -0.236436 0.885144 -0.767476 -0.0839008 -0.599574 0.593602 0.374295 0.197967 0.212462 0.524936 -0.510003 0.6006 -0.473746 0.244895 0.561464 -0.23203 0.320366 -0.220493 -0.158924 0.0674351 -0.6414 0.308921 -0.490748 -0.464928 0.304785 -0.170514 0.236133 -0.0696263 0.0458931 -0.512534 0.489197 -0.481167 0.147177 -0.427512
31,Priors,mu_c_priors,0.287567 -0.607105 -0.68611 -0.404874 0.271037 -0.581195 -0.192378 0.937048 -0.860359 -0.179626 -0.692064 0.655659 0.356321 0.481615 0.193852 0.50543 -0.550055 0.533302 -0.58632 0.269292 0.539554 -0.262103 0.337289 -0.350002 -0.212864 0.108143 -0.73297 0.376612 -0.37739 -0.302718 0.34796 -0.133772 0.285756 0.108497 -0.0806925 -0.523606 0.460071 -0.539521 0.160067 -0.301852
32,Priors,mu_c_priors,0.217198 -0.627401 -0.652309 -0.315168 0.471516 -0.646585 -0.147052 0.954926 -0.913162 -0.24218 -0.76169 0.681029 0.315686 0.697928 0.169337 0.473456 -0.571338 0.432227 -0.678035 0.265217 0.484995 -0.296681 0.328619 -0.407733 -0.240641 0.157735 -0.801411 0.404242 -0.233026 -0.0791002 0.377154 -0.104815 0.309092 0.2727 -0.198408 -0.478839 0.399207 -0.553108 0.158922 -0.135005
