TimeStep,StateType,Variable,Values
189,Posteriors,var_c_posts,0.111367 0.10233 0.109382 0.0815071 0.0395345 0.0373124 0.340474 0.0579473 0.0362272 0.0389741 0.026313 0.0924643 0.0518959 0.0135524 0.0618921 0.0974346 0.0665649 0.179883 0.0251729 0.112398 0.0915364 0.124897 0.109352 0.0255523 0.0605135 0.0637561 0.0274742 0.0928259 0.0580831 0.017402 0.172655 0.045373 0.0551957 0.0131485 0.102788 0.0846599 0.103557 0.0423922 0.0231627 0.102843
190,Posteriors,var_c_posts,0.103677 0.13132 0.0873263 0.0731832 0.0451867 0.036695 0.322195 0.0513925 0.0341895 0.0444293 0.0182111 0.0765275 0.051784 0.0142258 0.0487891 0.088863 0.0730625 0.179328 0.0275866 0.10654 0.068857 0.115466 0.127169 0.0276639 0.058389 0.0612869 0.0179596 0.0829315 0.0446623 0.0225679 0.155445 0.0530561 0.0575001 0.0131262 0.083706 0.081461 0.0952461 0.0464541 0.027108 0.157786
191,Posteriors,var_c_posts,0.0871492 0.161553 0.0625778 0.0599286 0.0507721 0.0326528 0.266046 0.0489324 0.0315504 0.0447009 0.01319 0.0725495 0.0509909 0.0155519 0.0352644 0.0739384 0.0819625 0.16385 0.0297368 0.0953261 0.0433071 0.0921614 0.137517 0.0298502 0.0549645 0.0603985 0.0121966 0.0731324 0.0306219 0.0225859 0.133287 0.059528 0.059759 0.0143825 0.0659111 0.0691677 0.08247 0.0483961 0.0300063 0.200323
0,Posteriors,mu_h_posts,0.0814539 -0.0299954 0.0329675 -0.00690865 0.0934923 -0.0274143 0.0312121 -0.0314662 -0.0133575 0.018883 -0.18334 0.123291 -0.0514066 0.110315 -0.101917 0.0139547 -0.0827138 0.0577173 -0.0287223 0.0404392 -0.0758217 -0.119408 0.0936213 -0.0924332 -0.119315 0.0400336 -0.0473723 -0.0572769 0.116512 0.100137 0.0150854 -0.0205748 -0.0439628 0.0449275 -0.16866 0.0154809 -0.0831888 -0.0750658 -0.0577944 0.101102
1,Posteriors,mu_h_posts,0.1447 0.0187429 0.108633 0.0114696 0.106769 -0.0911245 0.0536689 -0.134943 0.0818743 0.0148579 -0.210556 0.082967 -0.0799295 0.18803 -0.159209 -0.118033 -0.111335 0.0666392 -0.0303599 0.0929822 -0.114075 -0.142348 0.118305 -0.0549365 -0.177443 -0.00266116 0.00141442 -0.120803 0.131629 0.188414 0.0305786 0.0385602 -0.0661341 0.00398518 -0.278482 0.0243859 -0.10357 -0.00255404 -0.100608 0.0712506
2,Posteriors,mu_h_posts,0.122375 0.0597409 0.136537 0.0148452 0.0388201 -0.0263946 0.0703137 -0.177885 0.174378 0.0508182 -0.239209 0.0560633 -0.0929153 0.137551 -0.190157 -0.150113 -0.0787358 0.0380272 0.00136103 0.0727311 -0.159625 -0.140187 0.128645 -0.00125343 -0.157933 -0.040115 -0.0117015 -0.135074 0.144755 0.177249 0.0350318 0.012807 -0.116646 -0.0409038 -0.315523 0.0435425 -0.108607 0.024668 -0.128744 0.109413
3,Posteriors,mu_h_posts,0.166627 0.110588 0.163187 0.0053941 -0.0109098 -0.0109597 0.0581331 -0.22252 0.263944 0.0828956 -0.209677 -0.00613147 -0.0955008 0.100637 -0.189298 -0.217041 -0.0346307 0.0199251 0.0576592 0.0662477 -0.169684 -0.123914 0.115204 0.0508672 -0.146644 -0.0402717 0.0306298 -0.178426 0.155601 0.128757 0.0278626 0.023856 -0.10316 -0.132176 -0.345345 0.0577495 -0.0858652 0.0903123 -0.132849 0.0628268
4,Posteriors,mu_h_posts,0.204056 0.138932 0.0940725 -0.00774695 -0.0750102 0.0141529 0.0307211 -0.267975 0.285022 0.140036 -0.157005 -0.0319672 -0.103833 -0.00507875 -0.149225 -0.288978 -0.0354719 0.0690913 0.0714581 0.0712925 -0.154096 -0.0807884 0.101308 0.0903983 -0.13718 -0.0585967 0.0377233 -0.199897 0.132826 0.0728366 0.0581831 0.0310961 -0.102255 -0.193931 -0.352087 0.0212054 -0.0756536 0.128789 -0.139675 0.0391016
5,Posteriors,mu_h_posts,0.196469 0.171843 0.0576818 -0.0651202 -0.124053 0.00730728 0.024795 -0.277177 0.3217 0.177951 -0.156563 -0.0451273 -0.107267 -0.0798889 -0.0889238 -0.314589 -0.0281131 0.105163 0.097937 0.131931 -0.117189 -0.0474253 0.0818804 0.124247 -0.143311 -0.0767697 -0.0354282 -0.220481 0.0587419 -0.00306287 0.0586141 0.0373323 -0.106711 -0.259712 -0.347518 0.00621598 -0.0647357 0.169897 -0.138185 -0.0288343
6,Posteriors,mu_h_posts,0.192148 0.178628 0.00545461 -0.143539 -0.151569 -0.0188465 0.013187 -0.332935 0.288894 0.166297 -0.13846 -0.0667695 -0.137255 -0.0987154 -0.0621541 -0.363652 -0.0279211 0.157491 0.121951 0.187368 -0.0620217 -0.0326918 0.0251575 0.149085 -0.138568 -0.0782908 -0.0778717 -0.245629 -0.0570714 -0.0718451 0.0984304 0.12977 -0.109284 -0.346041 -0.358315 -0.0509559 -0.0519037 0.19029 -0.13529 -0.1098
7,Posteriors,mu_h_posts,0.199716 0.158397 -0.0339925 -0.185512 -0.177975 -0.0446581 -0.0324137 -0.351501 0.255891 0.206772 -0.154163 -0.0556998 -0.113855 -0.132045 -0.00995649 -0.370153 -0.0458431 0.161763 0.132832 0.20147 0.0293213 -0.0535687 0.0401123 0.16343 -0.145666 -0.0761528 -0.138358 -0.206561 -0.134125 -0.105502 0.12135 0.135188 -0.112268 -0.383978 -0.346819 -0.108198 -0.0415452 0.188038 -0.141899 -0.15821
8,Posteriors,mu_h_posts,0.184833 0.138261 -0.0639917 -0.236568 -0.136552 -0.106224 -0.046624 -0.363373 0.250023 0.124182 -0.149113 -0.0419324 -0.129063 -0.0748545 0.0435254 -0.364298 -0.0607211 0.192868 0.162162 0.274819 0.105197 -0.0528899 0.0971931 0.168612 -0.166272 -0.0751768 -0.147604 -0.226135 -0.215269 -0.103539 0.13063 0.237858 -0.113168 -0.412139 -0.359767 -0.134324 -0.0304673 0.191396 -0.13638 -0.309753
9,Posteriors,mu_h_posts,0.199365 0.111225 -0.113209 -0.269877 -0.15445 -0.111814 -0.0598624 -0.3417 0.171566 0.114304 -0.198038 0.0201207 -0.115268 -0.0924527 0.0671313 -0.381085 -0.126532 0.219491 0.153353 0.245931 0.149015 -0.0474584 0.132341 0.109417 -0.173435 -0.0951433 -0.246276 -0.122573 -0.236093 -0.166875 0.153091 0.156517 -0.0958171 -0.374476 -0.345652 -0.178529 -0.00979528 0.178727 -0.13833 -0.334804
10,Posteriors,mu_h_posts,0.221137 0.0968021 -0.123108 -0.282391 -0.0896368 -0.167846 -0.0390359 -0.331657 0.135715 0.00345882 -0.179756 0.0266724 -0.0910425 0.00197025 0.066623 -0.347892 -0.172245 0.214913 0.179786 0.302123 0.206782 -0.051963 0.14488 0.0249186 -0.198781 -0.0970484 -0.254366 -0.0739774 -0.281791 -0.121904 0.168966 0.34483 -0.0595231 -0.458277 -0.383501 -0.197207 -0.0211248 0.180857 -0.120487 -0.446593
11,Posteriors,mu_h_posts,0.218439 0.0710167 -0.157071 -0.291736 -0.0932543 -0.168194 -0.0495419 -0.316923 0.0093185 -0.00489946 -0.263087 0.128145 -0.0675667 -0.0229935 0.0863899 -0.350994 -0.218046 0.226679 0.158503 0.276804 0.237746 -0.0589571 0.174561 -0.0710938 -0.224919 -0.112755 -0.353379 0.0654122 -0.247447 -0.162608 0.187666 0.241147 -0.0359699 -0.38814 -0.384492 -0.233014 0.000243031 0.146269 -0.144644 -0.415859
12,Posteriors,mu_h_posts,0.214259 0.0597128 -0.167061 -0.293288 -0.00230307 -0.217545 -0.0275616 -0.315674 -0.0309424 -0.0937304 -0.212923 0.0958833 -0.0971493 0.119917 0.0753807 -0.324663 -0.268002 0.226574 0.179125 0.338602 0.277032 -0.0589856 0.195956 -0.216911 -0.250304 -0.0902015 -0.328661 0.0940944 -0.253949 -0.0783784 0.211505 0.441721 -0.0211623 -0.444486 -0.444517 -0.251253 -0.0327808 0.14266 -0.127658 -0.483203
13,Posteriors,mu_h_posts,0.206 0.0204034 -0.198396 -0.277388 0.034329 -0.210356 -0.0463331 -0.291194 -0.137717 -0.104725 -0.315598 0.222724 -0.067956 0.100749 0.094572 -0.279303 -0.281239 0.229595 0.141051 0.296533 0.271963 -0.0737977 0.215788 -0.261517 -0.277447 -0.102306 -0.413687 0.193812 -0.164773 -0.0816087 0.211651 0.280007 -0.0123908 -0.319889 -0.442209 -0.269986 -0.0222766 0.0826907 -0.170118 -0.37159
14,Posteriors,mu_h_posts,0.20595 0.0224379 -0.201836 -0.265262 0.106806 -0.27384 -0.0226234 -0.282134 -0.128222 -0.119436 -0.215433 0.128244 -0.112072 0.231928 0.0790751 -0.279596 -0.339037 0.226977 0.158094 0.355655 0.276731 -0.0628849 0.229882 -0.368774 -0.291126 -0.07996 -0.311209 0.189295 -0.158553 0.0876855 0.238847 0.480027 -0.0103101 -0.31549 -0.493283 -0.266576 -0.07115 0.103389 -0.143536 -0.431556
15,Posteriors,mu_h_posts,0.200417 -0.0189599 -0.220607 -0.233962 0.159896 -0.258287 -0.0375809 -0.245319 -0.199877 -0.129631 -0.330938 0.262623 -0.0838332 0.219812 0.0906145 -0.178287 -0.320198 0.224851 0.114358 0.296365 0.233717 -0.0835594 0.221918 -0.332707 -0.303561 -0.100047 -0.392976 0.238962 -0.024267 0.121274 0.221203 0.265856 -0.0085149 -0.175845 -0.462485 -0.248916 -0.0878778 0.0283597 -0.199469 -0.228507
16,Posteriors,mu_h_posts,0.209026 0.00626043 -0.208163 -0.209637 0.170378 -0.3258 -0.0122572 -0.246692 -0.1287 -0.095418 -0.182776 0.112111 -0.112437 0.3171 0.0588338 -0.23415 -0.381561 0.21638 0.134058 0.3528 0.172296 -0.0654964 0.221334 -0.404657 -0.296403 -0.0740407 -0.15886 0.199948 -0.0234078 0.314271 0.259012 0.481926 -0.0158895 -0.121235 -0.507448 -0.225633 -0.12771 0.0824481 -0.151887 -0.341604
17,Posteriors,mu_h_posts,0.193811 -0.0184493 -0.191548 -0.170286 0.216222 -0.29689 -0.00481143 -0.2186 -0.17703 -0.105648 -0.315015 0.250768 -0.0961473 0.291069 0.0524282 -0.125258 -0.318991 0.190364 0.0944154 0.274141 0.0973562 -0.102271 0.201005 -0.324205 -0.292737 -0.096473 -0.233434 0.219547 0.114647 0.324602 0.224059 0.227975 -0.0227453 -0.0372819 -0.45791 -0.163751 -0.165562 0.000177009 -0.219624 -0.0665335
18,Posteriors,mu_h_posts,0.192841 0.0260405 -0.16179 -0.131614 0.188251 -0.363041 0.00708913 -0.237516 -0.0272136 -0.0688934 -0.145233 0.0688375 -0.107739 0.365747 0.00215413 -0.207839 -0.356948 0.190634 0.119343 0.339611 -0.0439276 -0.0756581 0.197998 -0.382393 -0.268888 -0.0598303 0.139878 0.130165 0.0975548 0.469597 0.267632 0.474509 -0.0435754 0.0480515 -0.510876 -0.1454 -0.158556 0.0772383 -0.145124 -0.251488
19,Posteriors,mu_h_posts,0.168396 0.0334026 -0.0914892 -0.0828281 0.221274 -0.29679 0.0616411 -0.219934 -0.0565169 -0.071956 -0.2904 0.201006 -0.107207 0.311612 -0.0232308 -0.132539 -0.268655 0.121782 0.0791055 0.227659 -0.0988355 -0.130566 0.170816 -0.272941 -0.251737 -0.0871999 0.0662202 0.137253 0.20458 0.415186 0.212545 0.182869 -0.0538187 0.0458707 -0.447999 -0.0397714 -0.198807 0.00553815 -0.222949 0.0394069
20,Posteriors,mu_h_posts,0.143525 -0.0646844 -0.0161549 -0.053705 0.154436 -0.0443926 0.087438 0.0172994 -0.0655262 0.0185951 -0.466958 0.359818 -0.118622 0.106377 -0.0713767 0.214189 -0.190268 0.085461 0.01569 0.0415091 -0.0862594 -0.193683 0.17795 -0.167919 -0.171341 0.0258817 -0.175961 0.0738689 0.299514 0.171409 0.201414 0.00820162 -0.104964 0.0367511 -0.352559 0.0985224 -0.245651 -0.118199 -0.245054 0.221869
21,Posteriors,mu_h_posts,0.165026 -0.0745794 0.0108972 -0.0276727 0.0731981 0.0695141 0.0834202 0.180636 -0.0104118 0.131187 -0.458187 0.32423 -0.102924 0.0026707 -0.119578 0.330851 -0.189461 0.0726052 -0.054136 -0.0620381 -0.0524693 -0.198048 0.170975 -0.0591972 -0.143434 0.0986704 -0.258564 0.00669207 0.253002 -0.0302273 0.16585 -0.0215481 -0.105869 0.01636 -0.31898 0.121436 -0.185832 -0.138198 -0.198591 0.259766
22,Posteriors,mu_h_posts,0.14242 -0.0494132 -0.0307216 -0.0382174 -0.0324788 0.119796 0.0551478 0.256841 0.0878725 0.233053 -0.451996 0.208306 -0.0649705 -0.0883822 -0.149915 0.366296 -0.163679 0.064349 -0.086678 -0.10464 -0.0353487 -0.18181 0.177852 0.0273953 -0.0969572 0.0633675 -0.262612 -0.0384941 0.116043 -0.119305 0.104852 -0.0549494 -0.132138 -0.0133233 -0.255295 0.0888902 -0.11559 -0.109303 -0.164542 0.283345
23,Posteriors,mu_h_posts,0.177848 -0.0200558 -0.0444128 -0.0714461 -0.122395 0.139227 0.0117587 0.313802 0.16185 0.319121 -0.424691 0.0976987 0.0202323 -0.150567 -0.130739 0.368057 -0.112168 0.0368239 -0.0782128 -0.147637 0.0176482 -0.171431 0.183646 0.0828084 -0.064355 0.0207031 -0.293575 -0.0568916 -0.0154321 -0.171616 0.000769871 -0.0772652 -0.0990156 -0.0649364 -0.143878 0.064552 -0.0120683 -0.0419073 -0.143006 0.272953
24,Posteriors,mu_h_posts,0.225003 -0.0367124 -0.140386 -0.11033 -0.20106 0.116127 -0.0439555 0.336869 0.149559 0.386933 -0.339099 0.0357713 0.129801 -0.201861 -0.0635615 0.379567 -0.0939896 0.0588685 -0.0755765 -0.159128 0.0906908 -0.14791 0.186046 0.118223 -0.0472916 -0.0411706 -0.32308 -0.056974 -0.151251 -0.211775 -0.0384565 -0.107247 -0.053297 -0.109326 -0.0164111 0.019963 0.0704488 0.0342376 -0.116892 0.276235
25,Posteriors,mu_h_posts,0.241833 -0.00992929 -0.169192 -0.175084 -0.248389 0.0754473 -0.050563 0.32509 0.0800519 0.40203 -0.294522 0.0319285 0.218486 -0.221977 0.0425807 0.352864 -0.093991 0.0779353 -0.0747546 -0.118512 0.187331 -0.105024 0.166347 0.156287 -0.0584332 -0.104507 -0.341515 -0.051657 -0.277175 -0.21041 -0.0589941 -0.118437 0.00488678 -0.155278 0.0800072 -0.011245 0.13923 0.0851582 -0.0839801 0.163933
26,Posteriors,mu_h_posts,0.232736 -0.00605984 -0.197313 -0.245193 -0.283829 0.0387267 -0.0329662 0.325938 -0.0427811 0.345446 -0.259907 0.0524629 0.2602 -0.220226 0.086173 0.366054 -0.122397 0.109605 -0.0774614 -0.0631419 0.251488 -0.0742259 0.0880131 0.180246 -0.0431138 -0.122788 -0.345179 -0.0368907 -0.346183 -0.24535 -0.0179115 -0.121084 0.0402828 -0.195945 0.127935 -0.059767 0.203566 0.0824905 -0.0408271 0.0295196
27,Posteriors,mu_h_posts,0.229663 -0.0400297 -0.21427 -0.271217 -0.295269 -0.0163847 -0.038817 0.324631 -0.151559 0.287406 -0.242084 0.120724 0.297348 -0.204004 0.0926741 0.314922 -0.140095 0.119798 -0.0671947 -0.00711504 0.291263 -0.0880076 0.0427848 0.179178 -0.0442559 -0.0896839 -0.322152 0.0108154 -0.378306 -0.261693 0.0289184 -0.0912412 0.0694358 -0.230991 0.179954 -0.113865 0.239146 0.0335594 -0.006427 -0.137938
28,Posteriors,mu_h_posts,0.21183 -0.0796552 -0.237775 -0.288206 -0.254756 -0.0614259 -0.0536964 0.327346 -0.214403 0.17628 -0.263533 0.238048 0.286839 -0.147684 0.095225 0.301193 -0.165053 0.148378 -0.101713 0.0503105 0.307462 -0.105022 0.0806395 0.116981 -0.0497305 -0.0293057 -0.311545 0.0527561 -0.37077 -0.280848 0.0682578 -0.0793939 0.0715305 -0.179543 0.157054 -0.16756 0.275793 -0.0551799 0.0328272 -0.282185
29,Posteriors,mu_h_posts,0.193926 -0.110555 -0.270456 -0.287148 -0.160138 -0.111287 -0.0593165 0.319224 -0.253038 0.0319459 -0.305236 0.347118 0.259587 -0.0515672 0.0968938 0.324139 -0.209727 0.183879 -0.155424 0.0909974 0.308404 -0.107306 0.119624 -0.0096632 -0.0591345 0.0202509 -0.326063 0.106214 -0.342695 -0.301042 0.0975558 -0.0761058 0.0908318 -0.0986901 0.0878794 -0.213008 0.311045 -0.136812 0.0704866 -0.342586
30,Posteriors,mu_h_posts,0.187412 -0.13736 -0.292256 -0.258337 -0.00251911 -0.168467 -0.0622518 0.304976 -0.294024 -0.0554611 -0.343123 0.413235 0.248737 0.0904401 0.0960077 0.319093 -0.246985 0.189132 -0.185603 0.112005 0.307231 -0.10782 0.127873 -0.120666 -0.0957206 0.05057 -0.357073 0.160837 -0.300273 -0.273622 0.115435 -0.0591273 0.131554 -0.0277051 0.0240148 -0.233292 0.324488 -0.18897 0.0883138 -0.319735
31,Posteriors,mu_h_posts,0.165131 -0.164252 -0.304053 -0.218561 0.159757 -0.210864 -0.059735 0.292327 -0.317574 -0.110871 -0.362377 0.445539 0.226442 0.237441 0.0947151 0.306541 -0.273392 0.17916 -0.203164 0.120586 0.294642 -0.109848 0.126662 -0.186524 -0.131171 0.0813013 -0.381528 0.18748 -0.229605 -0.190866 0.12873 -0.0420849 0.159637 0.0402297 -0.0415432 -0.241106 0.31601 -0.222013 0.0943138 -0.229067
32,Posteriors,mu_h_posts,0.129955 -0.192804 -0.303171 -0.171808 0.280128 -0.240671 -0.0547117 0.276786 -0.335318 -0.137405 -0.359319 0.452707 0.190548 0.36088 0.09007 0.285419 -0.287137 0.15872 -0.213279 0.117188 0.263383 -0.113675 0.118427 -0.209328 -0.150633 0.117882 -0.387573 0.191902 -0.136045 -0.0503915 0.136834 -0.0295832 0.172363 0.0968794 -0.0943773 -0.222047 0.280726 -0.244932 0.0917815 -0.10056
33,Posteriors,mu_h_posts,0.0853858 -0.220273 -0.281534 -0.119552 0.355554 -0.255704 -0.0467646 0.26157 -0.352123 -0.139079 -0.335886 0.441359 0.149695 0.454681 0.0758825 0.256597 -0.28912 0.127267 -0.218556 0.102054 0.209714 -0.12126 0.107737 -0.201672 -0.144579 0.156427 -0.368512 0.182337 -0.0339938 0.117537 0.13709 -0.0218553 0.171634 0.136918 -0.128488 -0.169538 0.213184 -0.261507 0.084308 0.0163722
34,Posteriors,mu_h_posts,0.0283841 -0.240415 -0.229448 -0.0603099 0.399249 -0.250211 -0.0310615 0.248581 -0.368238 -0.124401 -0.298337 0.41519 0.112166 0.522951 0.0453745 0.222448 -0.279679 0.083101 -0.223051 0.0761215 0.129318 -0.132356 0.095515 -0.178119 -0.10615 0.19059 -0.317565 0.162464 0.0528212 0.262428 0.124615 -0.0179267 0.159818 0.160602 -0.146067 -0.084128 0.122846 -0.274863 0.0751612 0.0890937
35,Posteriors,mu_h_posts,-0.0410021 -0.249951 -0.145383 0.0084244 0.422557 -0.212658 -0.00132923 0.237352 -0.378564 -0.0986251 -0.24722 0.371026 0.0825186 0.571016 -0.0069659 0.183506 -0.25683 0.024755 -0.228159 0.0420206 0.0263602 -0.144701 0.0795786 -0.148633 -0.0376048 0.214483 -0.227755 0.134408 0.109345 0.356693 0.0946013 -0.0167948 0.141235 0.171556 -0.151806 0.0194179 0.0363996 -0.284019 0.0650083 0.116741
36,Posteriors,mu_h_posts,-0.116074 -0.2478 -0.0402138 0.0828338 0.428867 -0.128755 0.0453799 0.226126 -0.377999 -0.0598334 -0.179429 0.299314 0.0590498 0.601036 -0.0741593 0.138368 -0.214493 -0.0444525 -0.229586 0.00739314 -0.0768429 -0.154234 0.0585833 -0.118753 0.0452779 0.222584 -0.102976 0.0989774 0.135394 0.397928 0.0438247 -0.0193604 0.117715 0.172192 -0.150749 0.113929 -0.0221107 -0.285508 0.0531832 0.113105
37,Posteriors,mu_h_posts,-0.186794 -0.23261 0.0655511 0.154931 0.416569 -0.00323373 0.106042 0.213565 -0.362152 -0.00741564 -0.0865293 0.189518 0.0373373 0.612002 -0.143827 0.0892288 -0.149555 -0.116563 -0.223261 -0.0199032 -0.155806 -0.152816 0.0305617 -0.0905494 0.125342 0.214991 0.0231985 0.0560679 0.140375 0.393483 -0.0282408 -0.0275367 0.0893541 0.162559 -0.146447 0.183029 -0.0451376 -0.278341 0.0396376 0.0957122
38,Posteriors,mu_h_posts,-0.244166 -0.205334 0.151118 0.218763 0.382062 0.124061 0.171854 0.198869 -0.32821 0.0579552 0.0271998 0.0455505 0.0153652 0.596835 -0.204594 0.0384814 -0.0693474 -0.182213 -0.205291 -0.0350012 -0.202147 -0.126686 -0.00613433 -0.0639132 0.187038 0.193637 0.111222 0.0071393 0.1325 0.353098 -0.113323 -0.0433771 0.0557927 0.143426 -0.140467 0.222301 -0.0412166 -0.261477 0.025102 0.0770202
39,Posteriors,mu_h_posts,-0.285808 -0.167147 0.208887 0.272416 0.325807 0.210517 0.231176 0.179747 -0.279296 0.130881 0.13391 -0.0922873 -0.0068991 0.544556 -0.252209 -0.014687 0.0114678 -0.234675 -0.180528 -0.0379881 -0.223585 -0.0590617 -0.0523487 -0.0387681 0.225677 0.163864 0.154476 -0.0444064 0.117897 0.286753 -0.196221 -0.0670585 0.0193166 0.115492 -0.130782 0.238509 -0.0214773 -0.237133 0.0121078 0.0618384
40,Posteriors,mu_h_posts,-0.313067 -0.119185 0.234806 0.314815 0.245552 0.253025 0.273642 0.155149 -0.219102 0.20882 0.205872 -0.181392 -0.031061 0.438174 -0.283499 -0.0674855 0.0789829 -0.27117 -0.156325 -0.032318 -0.230275 0.0521769 -0.108124 -0.0144888 0.246002 0.131928 0.166539 -0.0944954 0.0976768 0.202614 -0.259683 -0.0969633 -0.0181124 0.0798918 -0.112376 0.241605 0.0053789 -0.202863 0.00320004 0.0511381
41,Posteriors,mu_h_posts,-0.330408 -0.0637767 0.227717 0.347418 0.142529 0.261984 0.289151 0.126573 -0.162371 0.290933 0.243613 -0.223116 -0.0563902 0.270794 -0.296647 -0.117205 0.125725 -0.289924 -0.137765 -0.0211329 -0.22837 0.183065 -0.171707 0.00898072 0.255113 0.103887 0.161281 -0.14055 0.0684398 0.11099 -0.29913 -0.129668 -0.0511715 0.038356 -0.0805873 0.237156 0.0322709 -0.156391 0.000767329 0.0441576
42,Posteriors,mu_h_posts,-0.340188 -0.00506384 0.189336 0.370996 0.0233037 0.251156 0.268996 0.0990195 -0.118308 0.375008 0.255403 -0.239286 -0.0818698 0.0603321 -0.287359 -0.158103 0.152467 -0.290096 -0.124489 -0.00401765 -0.219564 0.297975 -0.239479 0.0314583 0.258573 0.0817216 0.147192 -0.18185 0.0222386 0.0266503 -0.316634 -0.162291 -0.0774527 -0.00746802 -0.0350891 0.22663 0.0566519 -0.0968547 0.00583617 0.0381312
43,Posteriors,mu_h_posts,-0.341478 0.0489383 0.126 0.38272 -0.0975801 0.230833 0.209442 0.0770502 -0.0885252 0.456514 0.245218 -0.246305 -0.105897 -0.147193 -0.25435 -0.185107 0.164532 -0.270567 -0.110875 0.0212139 -0.197406 0.373204 -0.304022 0.052542 0.260111 0.0645181 0.129191 -0.218012 -0.0422246 -0.0358201 -0.315394 -0.193182 -0.0974154 -0.0565843 0.016521 0.208047 0.0772649 -0.0249762 0.0186018 0.0287679
44,Posteriors,mu_h_posts,-0.349242 0.226355 0.11673 0.32267 -0.223773 0.232575 0.171252 -0.00507905 0.0257406 0.483335 0.258365 -0.16972 -0.0808586 -0.206953 -0.340347 -0.181747 0.128569 -0.142449 -0.035089 -0.0318812 -0.116539 0.357356 -0.394344 0.114126 0.159543 0.0568063 0.0260682 -0.311166 -0.0262203 -0.171954 -0.169672 -0.152889 -0.213589 -0.112769 0.0623645 0.204194 0.0925861 0.0376935 -0.0656625 0.110106
45,Posteriors,mu_h_posts,-0.29533 0.286456 0.0722995 0.263079 -0.293232 0.230884 0.123012 -0.054326 0.0975727 0.553926 0.180821 -0.164463 -0.0855541 -0.230671 -0.239585 -0.0842367 0.121945 -0.0639353 0.00945586 -0.0471556 -0.0545647 0.305422 -0.374868 0.148829 0.160553 0.0572305 -0.0319732 -0.334489 -0.0739646 -0.190348 -0.118517 -0.157522 -0.249068 -0.155599 0.130203 0.131374 0.0901121 0.0786845 -0.0856539 0.149191
46,Posteriors,mu_h_posts,-0.211023 0.278678 0.00405769 0.171442 -0.32298 0.218952 0.0429851 -0.0779232 0.142181 0.584045 0.105747 -0.178006 -0.0805732 -0.229446 -0.128528 -0.000151024 0.114044 0.000890853 0.0368136 -0.0415861 0.0286484 0.243389 -0.358757 0.182876 0.159371 0.054842 -0.0690703 -0.343301 -0.172389 -0.201076 -0.0975183 -0.168029 -0.247948 -0.190104 0.186525 0.0545088 0.0959072 0.116166 -0.087571 0.152922
47,Posteriors,mu_h_posts,-0.112023 0.227395 -0.0595432 0.0487115 -0.333586 0.201397 -0.026489 -0.0840106 0.15942 0.587703 0.036229 -0.183179 -0.0636275 -0.223455 -0.0314245 0.0780512 0.10117 0.0551086 0.0573465 -0.0261642 0.112284 0.160246 -0.334422 0.214745 0.156736 0.0464472 -0.10125 -0.339064 -0.265543 -0.210999 -0.0820534 -0.173858 -0.233114 -0.219977 0.226102 -0.0174878 0.109581 0.139235 -0.080062 0.106503
48,Posteriors,mu_h_posts,-0.012805 0.155055 -0.109577 -0.0809094 -0.33603 0.178524 -0.0679426 -0.0742251 0.145703 0.563802 -0.0276663 -0.168126 -0.0342417 -0.214069 0.0334108 0.141646 0.0734752 0.100097 0.0657523 -0.0041047 0.181457 0.0732926 -0.289879 0.239318 0.149928 0.0329063 -0.131791 -0.320568 -0.334738 -0.221714 -0.0614593 -0.171213 -0.200963 -0.242578 0.244584 -0.0793794 0.129742 0.14318 -0.0669677 -0.00377651
49,Posteriors,mu_h_posts,0.0705492 0.0791107 -0.146459 -0.190348 -0.336141 0.14089 -0.0828495 -0.0489041 0.095815 0.50775 -0.0879772 -0.120506 0.00704574 -0.204247 0.0668644 0.18731 0.0250122 0.137949 0.0597898 0.0274982 0.232791 0.00186586 -0.219768 0.248728 0.136186 0.0130477 -0.162662 -0.280484 -0.379007 -0.234815 -0.0334169 -0.16142 -0.152463 -0.254007 0.238312 -0.129291 0.156009 0.124664 -0.0454007 -0.156792
50,Posteriors,mu_h_posts,0.130793 0.0132461 -0.174847 -0.265005 -0.334857 0.0800345 -0.0830207 -0.00724694 0.00868506 0.414439 -0.147801 -0.0299083 0.0572339 -0.192587 0.0798284 0.216901 -0.0420041 0.168084 0.0393098 0.0638583 0.268297 -0.0488218 -0.130612 0.226328 0.112442 -0.00859911 -0.196558 -0.211721 -0.401468 -0.251923 0.00217041 -0.142828 -0.0874781 -0.25085 0.207684 -0.168907 0.188448 0.0804244 -0.0160372 -0.302374
51,Posteriors,mu_h_posts,0.169744 -0.0377501 -0.201001 -0.303633 -0.324314 0.000526613 -0.0795513 0.0475529 -0.0979089 0.291376 -0.206431 0.0960641 0.111881 -0.170061 0.082372 0.236083 -0.115052 0.189272 0.00595009 0.0978054 0.291804 -0.080072 -0.0332417 0.158012 0.0738997 -0.02503 -0.235912 -0.110621 -0.404776 -0.275441 0.0429819 -0.115861 -0.0168324 -0.23416 0.157777 -0.204072 0.223223 0.0139117 0.0158566 -0.409263
